sequence	effort	task	model	repeat
1	low	16-source-audit-verify	claude-sonnet-5	9
2	xhigh	16-source-audit-verify	claude-sonnet-5	4
3	xhigh	16-source-audit	claude-sonnet-5	2
4	low	16-source-audit	claude-sonnet-5	9
5	low	16-source-audit	claude-sonnet-5	8
6	xhigh	16-source-audit	claude-sonnet-5	8
7	low	16-source-audit	claude-sonnet-5	3
8	low	16-source-audit	claude-sonnet-5	10
9	xhigh	16-source-audit	claude-sonnet-5	1
10	low	16-source-audit	claude-sonnet-5	1
11	xhigh	16-source-audit	claude-sonnet-5	3
12	low	16-source-audit-verify	claude-sonnet-5	3
13	xhigh	16-source-audit	claude-sonnet-5	10
14	low	16-source-audit	claude-sonnet-5	2
15	low	16-source-audit	claude-sonnet-5	7
16	xhigh	16-source-audit-verify	claude-sonnet-5	2
17	low	16-source-audit-verify	claude-sonnet-5	5
18	xhigh	16-source-audit-verify	claude-sonnet-5	10
19	xhigh	16-source-audit-verify	claude-sonnet-5	7
20	xhigh	16-source-audit-verify	claude-sonnet-5	5
21	xhigh	16-source-audit	claude-sonnet-5	6
22	xhigh	16-source-audit	claude-sonnet-5	7
23	xhigh	16-source-audit-verify	claude-sonnet-5	1
24	xhigh	16-source-audit-verify	claude-sonnet-5	3
25	low	16-source-audit-verify	claude-sonnet-5	6
26	xhigh	16-source-audit	claude-sonnet-5	5
27	low	16-source-audit	claude-sonnet-5	4
28	low	16-source-audit	claude-sonnet-5	6
29	low	16-source-audit-verify	claude-sonnet-5	1
30	xhigh	16-source-audit	claude-sonnet-5	4
31	low	16-source-audit-verify	claude-sonnet-5	4
32	xhigh	16-source-audit-verify	claude-sonnet-5	8
33	low	16-source-audit-verify	claude-sonnet-5	2
34	low	16-source-audit-verify	claude-sonnet-5	7
35	low	16-source-audit-verify	claude-sonnet-5	10
36	xhigh	16-source-audit-verify	claude-sonnet-5	6
37	xhigh	16-source-audit-verify	claude-sonnet-5	9
38	low	16-source-audit-verify	claude-sonnet-5	8
39	xhigh	16-source-audit	claude-sonnet-5	9
40	low	16-source-audit	claude-sonnet-5	5
